Title,URL,City,Type,Area,Price,Purpose,Location,Description,Built in year,Parking Spaces,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Floors,Other Main Features,Furnished,Bedrooms,Bathrooms,Servant Quarters,Drawing Room,Dining Room,Kitchens,Study Room,Prayer Room,Powder Room,Store Rooms,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Sauna,Jacuzzi,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Other Facilities
Luxury and Fully Furnished 08 Kanal Farm House Available for  on Daily Basis at Bedian Road Lahore,https://www.zameen.com/Property/lahore_bedian_road_luxury_and_fully_furnished_08_kanal_farm_house_available_for__on_daily_basis_at_bedian_road_lahore-52723795-378-4.html,Lahore ,Farm House,8 Kanal,"PKR
25 Thousand",For ,"Bedian Road, Lahore, Punjab","Meezan Estate Offers:

Luxury and Fully Furnished 08 Kanal Farm House Available for  on 
Daily Basis
 at Bedian Road Lahore

Farmhouse Building Contains:
- Beautifully Built Farmhouse With All Time Modern Equipment 
- Bedrooms Furnished
- Bathrooms With All Day Modern Vanities 
- Beautiful Kitchen 
- Luxury TV Longue
- Dining Hall 
- Imported Marble 
- Grassy Lawn With Expensive And Imported Plants 
- Swimming Pool 
- Vast Area Of Play Ground 
- Royal Building 
- Servant Quarters 
- Parking Space
- Reasonable 
Daily Basis
  
- Bar. B. Q Equipment
- Fridge & Freezer Available
- Stove For Cooking 
- Micro Wave Oven
- Double Ac 2 Ton (Extra Charges 5000/-)

Society Features:
- Gated Community 
- Carpeted Roads 
- Green Belts
- Electricity 
- Security 
- Pure & Clean Water
- Street Lights
- Masjid
- CCTV Cameras
- Family Parks
- Kids Play Area
- Commercial Area

As Badian Road is famous for its Farmhouses, This Farm House is located within the center of all the farmhouses that give you a wide social circle. 

Near by Places:
- Commercial markets
- Hospital nearby
- Schools colleges nearby 
- Shopping malls restaurant near by 
- Phase 10 just near by 
- 5 minutes drive from DHA phase 6, 7
- 10 minute drive from Ring Road, DHA Phase 5
- 15 minute drive from Internationl Airport

Super Package Daily  25000/- Without AC
Delux Package Daily  30000/- With Dual AC 2 Ton Each

- Morning Timings 
- 9 am to 6 pm 
- Evening Timings 
- 10 pm to 6 am 
- 20 to 25 persons allowed

If you are thinking to live a peaceful life on bedian road, Must visit us, we assure you will feel happy to visit this area and you will like this attractive and peaceful side. 
Feel free to contact us for further details or an immediate deal. 

Regards 
Abdul Rehman",,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Marla Upper Portion for  DHA Rahbar Sector 2, Phase 11, Lahore (Ideal for Bachelors)",https://www.zameen.com/Property/dha_11_rahbar_dha_11_rahbar_phase_2_5_marla_upper_portion_for__dha_rahbar_sector_2_phase_11_lahore_ideal_for_bachelors-52738684-3717-4.html,Lahore ,Upper Portion,5 Marla,"PKR
42 Thousand",For ,"DHA 11 Rahbar, Lahore, Punjab","A neat and well-maintained 5 Marla upper portion is available for  in DHA Rahbar Sector 2, Phase 11, Lahore. Perfect choice for bachelors seeking a peaceful and comfortable living space. 

Property Features:
- 2 Bedrooms with attached washrooms 
- TV Lounge 
- Kitchen 
- Open Terrace 
- Peaceful and secure environment

Located in a prime area with easy access to markets, schools, and main roads. 

Contact now to schedule a visit!",,,,,,,,,1,,,-,-,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Marla Flat Available For ,https://www.zameen.com/Property/lahore_askari_10_marla_flat_available_for_-50893271-3555-4.html,Lahore ,Flat,10 Marla,"PKR
70 Thousand",For ,"Askari, Lahore, Punjab","Property Adviser & Builders Offers, 10 Marla 3 Bedroom Flat Available For  In Askari-1, Sarfraz Rafique Road Lahore Cantt. 
Area . 10 Marla 
3 Beds Attached Bath. 
2nd Floor ( Top Floor )
Please Contact For More Details.",1992,1,,,,,,,,,,3,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10- Marla House Available For  In Askari-9, Lahore.",https://www.zameen.com/Property/askari_askari_9_10-_marla_house_available_for__in_askari-9_lahore-51650195-1676-4.html,Lahore ,House,10 Marla,"PKR
1.25 Lakh",For ,"Askari, Lahore, Punjab",,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 Marla Elegant And Maintained Super Hot Located Bungalow Is Available For ,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_g_40_marla_elegant_and_maintained_super_hot_located_bungalow_is_available_for_-52558046-1604-4.html,Lahore ,House,2 Kanal,"PKR
5.5 Lakh",For ,"DHA Defence, Lahore, Punjab","40 Marla Elegant And Fully Maintained Super Hot Located Bungalow Is Available For  In The Best Block Of DHA Lahore. 
We Do Not Post Any 
Fake
 Ads
About The Property:
06 Master Size Bed Rooms With Attached Bath
All Baths Are Equipped With Imported Fittings
Kitchen With Amazing Wood Work
Spacious TV Lounge
Store Room
Prayer Room
Amazing Wood Work In Bungalow
The House Is Located Near the Park/Mosque
Near By Commercial Area
Complete Wiring Of UPS And Generator Done In The House
Solid Steel Work Used For Outside Main Gate
Complete Marble/Tiled/Wooden Flooring
All The Construction Near And Adjacent To House Is New
The Washing Area Is Elegantly Managed At The Back Side Of the House
Good Sizes Of Washrooms With Large Wardrobes In It. 
Superb Elevation
Main Hospitals Are So Nearby That Hardly Just 5 Minutes Away
Exclusive Views From The Terrace. 
Spacious Terrace Where One Can Easily Have a Good Walk 
All The Basic Necessities Of Life Are Available. 
All The Basic Utilities Are Available Including Connections Of Water/Sewage/Gas And Electricity. 
Please Feel Free To Contact Us.",2022,6,,,,,,,3,,,6,7,3,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Marla 4 Bedroom Fully Renovated House Available For  In Sector D Askari 10 Lahore CanttA,https://www.zameen.com/Property/askari_10_askari_10_-_sector_d_10_marla_4_bedroom_fully_renovated_house_available_for__in_sector_d_askari_10_lahore_cantta-52736924-9435-4.html,Lahore ,House,10 Marla,"PKR
2.5 Lakh",For ,"Askari, Lahore, Punjab","10 Marla Fully Renovated 4 Bedroom House for  Sector D, Askari 10, Lahore Cantt

A perfect blend of modern living and comfort!
This fully renovated 10 Marla house in Sector D, Askari 10 offers a spacious layout, premium finishes, and a peaceful lifestyle in one of Lahore Cantt's most secure communities. 

 Property Highlights:

4 Generously Sized Bedrooms with Attached Baths

Spacious TV Lounge & Drawing/Dining Room

Modern Renovated Kitchen with High-Quality Fittings

Stylish Tile Flooring & Fresh Paint Work

Servant Quarter with Separate Entrance

Wide Car Porch & Green Lawn

Solid Woodwork & Ample Storage

 Prime Location Perks:

Gated Community with 24/7 Security

Ideal for Families Seeking Peace & Privacy

Nearby Parks, Schools, Mosque & Shopping Area

Easy Access to Airport, Ring Road & DHA

If you're looking for a ready-to-move-in, upgraded home in a prime location, this property is a must-see!

 For More Information or to Book a Visit, Contact Now!",2013,2,,,,,,,2,,,4,5,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Marla Brand New House Like A Luxury At Hot Location,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_5_marla_brand_new_house_like_a_luxury_at_hot_location-52660854-8173-4.html,Lahore ,House,5 Marla,"PKR
75 Thousand",For ,"DHA Defence, Lahore, Punjab","Home Estate offer
 3 Master Bed with attached Baths
 4 Bathrooms in the Bungalow. 
 1 Beautiful T. V Lounge 1 Drawing & Dining 
 1 Fotile Company Kitchens
 0 Servant Quarters
 1 Big Cars Parking
 Grohi Sanitary Fittings
 1 Store Rooms
 Beautiful Lawn & Terrace
 Bar B. Q Area in Bungalow
 Ash Wood Door Almirah
 Amazing Wallpapers & Entrance Lobby
 Imported Marbles & Tiles Flooring
 1 Imported jacuzzis and 2 Cabin Showers in baths.",,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Marla Full House Like Brand New,https://www.zameen.com/Property/lake_city_lake_city_-_sector_m-7_5_marla_full_house_like_brand_new-49087839-4009-4.html,Lahore ,House,5 Marla,"PKR
89 Thousand",For ,"Raiwind Road, Lahore, Punjab","Some of the Main features of the Lake City are 
 Ring Road Excess to whole city
 Around 4000 Families are living and still counting 
 Under Ground Electrification & Cable System
 6 Megawatt Own Power Plant 
 Lake City Security Force 
 Sky Zone (Kids Play land) 
 Lake City Mall with number of national and International Brands including McDonald's, Hardees, Gloria Jeans, Villa-The Grand Buffet, KFC, Tahzeeb Bakery, Chic Chat, Daily Deli Co. & Bundu Khan & many are in pipeline 
 Lush Green Golf Course with majestic views of Lakes 
 Lake City Golf and Country Club with state of the art facilities (Membership soon to be opened)
 Cinema 
 Zoo 
 Banks 
 Medical Centre to cope up emergency cases
 Pharmacies
 Al-Fateh Departmental Store
 Jalal Sons
Butt Sweets
 Freshly
 International Standard Froebel's School 
 Scarsdale International School
Rosan Islamic School 
 Prime Location with walking distance Park and Mosque. 

For More Details And Option Please Contact Us.",2001,4,,,,,,,3,,,4,4,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Marla 4 Bedroom House Available For  In Sector A Askari 10 Lahore Cantt,https://www.zameen.com/Property/askari_10_askari_10_-_sector_a_10_marla_4_bedroom_house_available_for__in_sector_a_askari_10_lahore_cantt-52736876-9432-4.html,Lahore ,House,10 Marla,"PKR
1.5 Lakh",For ,"Askari, Lahore, Punjab","10 Marla 4 Bedroom House Available for  Sector A, Askari 10, Lahore Cantt

Looking for a well-maintained and spacious home in a secure and prime location?
This 10 Marla, 4-bedroom house in Sector A, Askari 10 is the perfect blend of comfort, elegance, and practicality. 

 Key Features:

4 Spacious Bedrooms with Attached Bathrooms

Elegant Drawing & Dining Room

Stylish TV Lounge with Modern Layout

Fully Equipped Kitchen with Cabinets

Servant Quarter

Tile Flooring & Solid Woodwork

Car Porch

Lush Green Lawn

 Prime Location Benefits:

Secure, Gated Community with 24/7 Security

Peaceful & Family-Friendly Environment

Nearby Schools, Parks & Commercial Area

Easy Access to Ring Road, Airport & DHA

This house is ideal for families looking for a peaceful and well-connected living environment in Askari 10, Lahore Cantt. 

 For More Details or to Schedule a Visit, Contact Now!",2012,1,,,,,,,2,,,4,5,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Marla House Available For ,https://www.zameen.com/Property/lahore_punjab_government_servant_housing_foundation_7_marla_house_available_for_-52734939-3027-4.html,Lahore ,House,7 Marla,"PKR
50 Thousand",For ,"Punjab Government Servant Housing Foundation, Lahore, Punjab","7 Marla House Available for  Ideal Family Home!
 Location: [ Punjab Government Servant Housing Scheme Mohlanwal , Lahore]
 Monthly : PKR [Insert  Amount, e. g. , 70,000]
 Size: 7 Marla
 Bedrooms: 3
 Bathrooms: 2
 Kitchen: 1
 Parking: 1 cars
 Utilities: Separate meters for electricity, gas, and water

 Features:
Spacious TV lounge and drawing room
Gated community with 24/7 security
Near to mosque, park, school, and market

 Contact Now:
[Mian Asim Maqsood Daula]
 Call/WhatsApp: [ ]",2015,,,,,,,,,,,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well-Constructed 1 Kanal House Available For  In Garden Town.,https://www.zameen.com/Property/lahore_garden_town_well-constructed_1_kanal_house_available_for__in_garden_town-52552135-4-4.html,Lahore ,House,1 Kanal,"PKR
4 Lakh",For ,"Garden Town, Lahore, Punjab","1 Kanal House For  Prime Location Of Garden Town 

5 Bedrooms
With Attached Bathroom
DD lounge 
2 Kitchen
2 Big Hall
Servant Quarter
Huge Car Parking
Lobby 
Well Maintained House
Big Lawn 
Ideal for NGO Office Multinational Companies Head Offices
Corporate Offices,
ETC.",2018,4,,,,,,,2,,,5,6,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slitly Use House,https://www.zameen.com/Property/raiwind_road_lake_city_slitly_use_house-52736075-1103-4.html,Lahore ,House,5 Marla,"PKR
85 Thousand",For ,"Raiwind Road, Lahore, Punjab","Some of the Main features of the Lake City are 
 Ring Road Excess to whole city
 Around 4000 Families are living and still counting 
 Under Ground Electrification & Cable System
 6 Megawatt Own Power Plant 
 Lake City Security Force 
 Sky Zone (Kids Play land) 
 Lake City Mall with number of national and International Brands including McDonald's, Hardees, Gloria Jeans, Villa-The Grand Buffet, KFC, Tahzeeb Bakery, Chic Chat, Daily Deli Co. & Bundu Khan & many are in pipeline 
 Lush Green Golf Course with majestic views of Lakes 
 Lake City Golf and Country Club with state of the art facilities (Membership soon to be opened)
 Cinema 
 Zoo 
 Banks 
 Medical Centre to cope up emergency cases
 Pharmacies
 Al-Fateh Departmental Store
 Jalal Sons
Butt Sweets
 Freshly
 International Standard Froebel's School 
 Scarsdale International School
Rosan Islamic School 
 Prime Location with walking distance Park and Mosque. 

For More Details And Option Please Contact Us.",,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5 Full Furnish House For  In Banker Society Available For Family And Bachelor's,https://www.zameen.com/Property/lahore_bankers_co-operative_housing_society_5_5_full_furnish_house_for__in_banker_society_available_for_family_and_bachelor_s-52739225-1052-4.html,Lahore ,House,5.5 Marla,"PKR
1.35 Lakh",For ,"Bankers Co-operative Housing Society, Lahore, Punjab","Location: State Life Phase 1 
Best Option for Living Purpose. 
Having Beautiful Bedrooms With Beautiful Attached Baths. TV Lounge. 
Branded Kitchens. 
Tiles With Wooden Flooring. 
Room Cabinet. 
Designed Walls And Ceiling. 
Car Porch. 
Beautiful Lawn. 
Beautiful Terrace And Sitting Area. 
Beautiful Design. 
Ideal Location. 
Reasonable Demand. 
For More Information Please Contact.",2024,1,,,,,,,2,,,3,4,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defence Phase 5 One Kanal Upper Portion Lower Locked Permanent Ideal Option,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_b_defence_phase_5_one_kanal_upper_portion_lower_locked_permanent_ideal_option-52649092-1599-4.html,Lahore ,Upper Portion,1 Kanal,"PKR
1.35 Lakh",For ,"DHA Defence, Lahore, Punjab","Master Deals offers!
1 Kanal brand New upper portion with 5 AC installed available for  in DHA phase 5 Lower Locked Pakka Pakka
Built in year: 2022
View: Very good
Parking Spaces: Yes
Double Glazed Windows
Central Air Conditioning
Central Heating
Flooring: Tiles
Electricity Backup: None
Waste Disposal
Floors: 1
Other Main Features: Yes
Rooms three Total
Powder Room
Gym
Store Rooms: Yes
Steam Room
Lounge or Sitting Room
Laundry Room
Other Rooms: Yes Kids Play Area
Barbeque Area
Mosque
Other Healthcare and Recreation Facilities: Yes
Nearby Locations and Other Facilities
Nearby Schools: Roots
Nearby Hospitals: PKLI
Nearby Shopping Malls: Dolman
Nearby Restaurants: KFC
Distance From Airport (kms): 4
Nearby Public Transport Service: Yes
Other Nearby Places: Yes",2022,4,,,,,,,1,,,3,4,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D H A Lahore 2 Kanal Faisal Rasool Design House With 100% Original Pics Available For ,https://www.zameen.com/Property/dha_defence_dha_phase_6_d_h_a_lahore_2_kanal_faisal_rasool_design_house_with_100_original_pics_available_for_-46146488-1448-4.html,Lahore ,House,2 Kanal,"PKR
9.5 Lakh",For ,"DHA Defence, Lahore, Punjab","D H A Lahore 2 kanal Faisal Rasool design house with 100% original pics available for  
this house have 
6 Master bedrooms with attached bathrooms 
shower cabin Jacuzzi TUB imported fitting 
2 T v lounge 
3 company Aran kitchen 
Drawing Room dining Room 
huge car parking 
lush green lawn 
12 A. C certain 
All accessories are imported 
store room cameras system Security Electronic Wire 
2 Servant Quarter 
imported Tails and Wooden floor 
Near to Mosque 
shopping Malls 
Branded store 
food court 
Reasonable  All info about this house and more options and all details . 
Mian Jee Real Estate Builders 
Contact",2023,6,,,,,,,2,,,6,6,2,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 MARLA HOUSE AVAILABLE FOR ,https://www.zameen.com/Property/lahore_paragon_city_5_marla_house_available_for_-52737571-1014-4.html,Lahore ,House,5 Marla,"PKR
70 Thousand",For ,"Paragon City, Lahore, Punjab",,2025,5,,,,,,,3,,,3,4,3,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Marla Beautifully Designed House For  In Park View City Lahore,https://www.zameen.com/Property/lahore_park_view_city_10_marla_beautifully_designed_house_for__in_park_view_city_lahore-52297621-1466-4.html,Lahore ,House,10 Marla,"PKR
1.3 Lakh",For ,"Park View City, Lahore, Punjab","10 Marla Beautiful House Includes:
5 Bedrooms
5 Bathrooms
2 Kitchen
2 TV Lounge
Drawing Dining
A+ Grade Material Used
Ready to Move
Ultra Luxury House
Ideal Location
Developed Area
Peaceful Environment
Good Community
All Modern Amenities",,,,,,,,,2,,,5,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your Ideal 1 Kanal House Has Just Become Available In Gulberg 2,https://www.zameen.com/Property/gulberg_gulberg_2_your_ideal_1_kanal_house_has_just_become_available_in_gulberg_2-46785757-3809-4.html,Lahore ,House,1 Kanal,"PKR
3.5 Lakh",For ,"Gulberg, Lahore, Punjab","1-Kanal Double Storey house available for  in Gulberg 2
3beds with attached baths
1big TV lounge 
Kitchen+1Dining
Big Car parking 
Good location and Easy approach 
Demand 350K
ONLY FOR SILENT OFFICE
Call/Msg for further info.",,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Marla Good Condition Lower Portion For ,https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_10_marla_good_condition_lower_portion_for_-49461119-4307-4.html,Lahore ,Lower Portion,10 Marla,"PKR
60 Thousand",For ,"Wapda Town, Lahore, Punjab","10 Marla Good Condition Lower Portion For  In 
Wapda Town Phase 1
- 2 bedrooms with attached baths. 
-Drawing room. 
- Iv lounge. 
- Powder room. 
- Kitchen
- Laundry Area. 
- Solid woodwork. 
- Garage. 
- Lawn. 
For Further Details Please Contact. 
-Near to Family park. 
- "" ""Shops. 
- "" "" Masjid. 
- "" "" Commercial market. 
-Near to main gate. 
Genuine customers interested in checking this property out should get in touch immediately so as not to miss this opportunity. 
-It is sure to be a profitable deal for any client. 
-We need only serious buyers to contact us.",2024,2,,,,,,,2,,,2,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Marla Beautiful Furnished House Available For ,https://www.zameen.com/Property/lahore_dha_11_rahbar_5_marla_beautiful_furnished_house_available_for_-52689513-1410-4.html,Lahore ,House,5 Marla,"PKR
85 Thousand",For ,"DHA 11 Rahbar, Lahore, Punjab","Vacant From 1st July 2025
Neat and clean House
Walking distance from main boulevard
Furnished House
Including:
Beds, Led, Fridge, central cooler, Dinning Table, Microwave, Sofa Set,Cylinder, Invertor",2022,,,,,,,,2,,,3,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Marla Brand New Double Storey House For ,https://www.zameen.com/Property/lahore_central_park_housing_scheme_5_marla_brand_new_double_storey_house_for_-52733127-1013-4.html,Lahore ,House,5 Marla,"PKR
60 Thousand",For ,"Central Park Housing Scheme, Lahore, Punjab","5 Marla brand new double story prime location house for  in Central park. 

- Brand new
- 3 master bedrooms with attached bathrooms
- Double kitchen
- T. V lounge
- Drawing room
- Car porch

 is 60,000 only.",2025,1,,,,,,,2,,,3,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Marla Like Brand New House For ,https://www.zameen.com/Property/lahore_dha_11_rahbar_5_marla_like_brand_new_house_for_-52695034-1410-4.html,Lahore ,House,5 Marla,"PKR
85 Thousand",For ,"DHA 11 Rahbar, Lahore, Punjab",,2023,,,,,,,,2,,,3,4,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 MARLA GROUND FLOOR AVAILABLE FOR ,https://www.zameen.com/Property/defence_road_dream_gardens_5_marla_ground_floor_available_for_-52703615-4393-4.html,Lahore ,Lower Portion,5 Marla,"PKR
38 Thousand",For ,"Defence Road, Lahore, Punjab","A SLIGHTLY USED GROUND FLOOR AVAILABLE FOR 
1 BEDROOM
1 WASHROOM
1 KITCHEN
1 TV LUNGE
1 POWDER ROOM
1 STORE SPACE",2024,1,,,,,,,2,,,1,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defence Phase 7 One Kanal Upper Portion With Lower Locked Permanent,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_x_defence_phase_7_one_kanal_upper_portion_with_lower_locked_permanent-52516096-1631-4.html,Lahore ,Upper Portion,1 Kanal,"PKR
80 Thousand",For ,"DHA Defence, Lahore, Punjab","1 Kanal Luxurious Upper Portion On Top Location and Lower Locked Permanent For  in DHA Phase 7Lahore
Features 
 3 Master Size Bedrooms
 3 Washroom With Jacuzzi Tub Shower Cabin Bath
 Kitchen with Wooden Work
 All Washrooms With Imported Fitting
 Cars Parking
 Green Lush Lawn
 Big TV Lounge
 Powder Room
 Store Room
 Tile Wooden flooring
 Servant Quarter
 Sitting Area And Bar B Q Area . 
 Complete Wiring Of Ups And Generator Done In The Bungalow. Any Time visit possible,with many more options available.",2014,4,,,,,,,1,,,3,4,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedian Road 4 Kanal Farm House 7 Beds Near Phase 6 n 7 For  Available,https://www.zameen.com/Property/bedian_road_sofia_farm_houses_bedian_road_4_kanal_farm_house_7_beds_near_phase_6_n_7_for__available-52412682-16712-4.html,Lahore ,Farm House,4 Kanal,"PKR
10 Lakh",For ,"Bedian Road, Lahore, Punjab",,2022,16,,,,,,,3,,,7,7,4,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Kanal Lavish Bungalow On Top Location For  In DHA Phase 6 Lahore,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_2_kanal_lavish_bungalow_on_top_location_for__in_dha_phase_6_lahore-52275018-1619-4.html,Lahore ,House,2 Kanal,"PKR
5.5 Lakh",For ,"DHA Defence, Lahore, Punjab","Master Deals Real Estate offers shower cabin Jacuzzi TUB imported fitting 
2 T v lounge
3 company Aran kitchen
1 Drawing Room dining Room
6 huge car parking
lush green lawn
12 A. C 
All accessories are imported
store room cameras system Security Electronic Wire
2 Servant Quarter 
imported Tails and Wooden floor
Near to Mosque
shopping Malls
Branded store
food court
Reasonable  and All info about this house and more others options and all details.",2014,6,,,,,,,2,,,6,7,3,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Marla Center Wala Portion For ,https://www.zameen.com/Property/lahore_samanabad_4_marla_center_wala_portion_for_-52637515-377-4.html,Lahore ,Upper Portion,4 Marla,"PKR
33.5 Thousand",For ,"Samanabad, Lahore, Punjab","4 Marla Center Wala Portion For 

2 Beds
1 Bath
Kitchen
Tarass
Bike Parking Space",2020,2,,,,,,,,,,2,1,0,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Marla Luxury House Is For  In Wapda Town Block D3,https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_10_marla_luxury_house_is_for__in_wapda_town_block_d3-52490389-4307-4.html,Lahore ,House,10 Marla,"PKR
1.5 Lakh",For ,"Wapda Town, Lahore, Punjab","10 Marla Luxury House is For  in wapda town Block D3
10 Marla Double Unit Condition House For  In Wapda Town Phase 1 . 
- 5 Bedrooms With Attached Baths. 
- Drawing Room. 
- Dining Area. 
- Tv Lounge. 
- Store Room. 
- Powder Room. 
- Kitchen
- Laundry Area. 
- Terrace. 
- Solid Woodwork. 
- Garage. 
- Lawn. 
- Roof. 
For Further Details Please Contact. 

-Near To Family Park. 
- "" "" Shops. 
- "" "" Masjid. 
- "" "" Commercial Market. 
-Near To Main Gate. 

Genuine Customers Interested In Checking This Property Out Should Get In Touch Immediately So As Not To Miss This Opportunity. 
-It Is Sure To Be A Profitable Deal For Any Client. 
-We Need Only Serious Buyers To Contact Us.",2022,3,,,,,,,2,,,5,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spacious 1 Kanal Upper Portion For  In DHA Phase 1,https://www.zameen.com/Property/dha_defence_dha_phase_1_spacious_1_kanal_upper_portion_for__in_dha_phase_1-52262794-1442-4.html,Lahore ,Upper Portion,1 Kanal,"PKR
85 Thousand",For ,"DHA Defence, Lahore, Punjab","Master Deal Real Estate,

Spacious 1 Kanal Upper Portion for  in DHA Phase 1!

Discover comfort and privacy in this 1 Kanal Upper Portion located in the prime DHA Phase 1. 

 Property Features:
 3 Bedrooms with Attached Bathrooms
 Spacious Kitchen & Lounge
 Separate Entrance for Privacy
 Store Room for Extra Storage
 2 Car Parking Spaces

 Prime Location Peaceful & Secure Neighborhood

 : Competitive Price!

 Call now to book a visit!",2024,2,,,,,,,2,,,3,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elegant 1 Kanal House For  In DHA Phase 4 | Prime Location!,https://www.zameen.com/Property/dha_defence_dha_phase_4_elegant_1_kanal_house_for__in_dha_phase_4_prime_location-52262752-1446-4.html,Lahore ,House,1 Kanal,"PKR
2.5 Lakh",For ,"DHA Defence, Lahore, Punjab","Master Deal Real Estate Offers,

Elegant 1 Kanal House for  in DHA Phase 4 | Prime Location!

Property Details:
 5 Bedrooms with attached 6 Bathrooms
 3 Kitchens Stylish & Functional
 2 Spacious Lounges for Relaxed Living
 Store Room & Servant Quarter
 4-Car Parking Space


 : Contact for Details

 For more information or a visit, call now!",2024,4,,,,,,,2,,,5,6,2,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury House Available For ,https://www.zameen.com/Property/dha_defence_dha_phase_6_luxury_house_available_for_-52707660-1448-4.html,Lahore ,House,1 Kanal,"PKR
3 Lakh",For ,"DHA Defence, Lahore, Punjab",,2025,1,,,,,,,,,,5,4,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
